00-91	AMASync1	AMANDA_SYNC_DOM	1e5b72775d19
00-92	AMATrig1	AMANDA_TRIG_DOM	1d165fc478ca
01-01	UP8P3648	Mouse_Trap	2b05aa7f0f6b
01-02	TP8P3623	Trouble	12b78d1cea33
01-03	UP8P3646	Monopoly	60fbc4b4e69e
01-04	TP8H8527	Eftersteka	cd5d58344001
01-05	UP8H8562	Stuva	12a7eb4ed898
01-06	TP8P3577	Chutes_And_Ladders	e9fed8c717dd
01-07	UP8Y4986	Berberis_Thungbergii	0807b60648b0
01-08	TP8P3629	Risk	88f9c6ed4483
01-09	UP8H8512	Pochera	9486d3ddbece
01-10	TP8H8561	Snoppa	7184d2aa2470
01-11	UP9P3782	Daily_Prophet	1158e198c075
01-12	TP8H8565	Sveda	e4f1ff36d25f
01-13	UP7H8170	Flygfisken	58191b7511ea
01-14	TP7H8245	Kurator	7a36b05b8717
01-15	UP8H8552	Rensa	fef2dcc41b6a
01-16	TP9P3775	Floo_Network	a9df3813efe6
01-17	UP9P3764	Gryffendor_Common_Room	c54ba499f024
01-18	TP8P3625	Pay_Day	56869208af01
01-19	UP7H8288	Kuse	3df17c9ba482
01-20	TP9P3761	Forbidden_Forrest	1fa7b4422fb3
01-21	UP9P3802	Hoofers	f2145b813c9a
01-22	TP7H8319	Snoka	5a7f91d13741
01-23	UP7H8174	Kentauren	789535f2fa46
01-24	TP8H8531	Flambera	4553694f29ec
01-25	UP9P3776	Diagon_Alley	53f98da44b15
01-26	TP9P3773	Flourish_And_Blotts	f4b93e2ed6de
01-27	UP8H8540	Kavla	857976c08f22
01-28	TP5H0101	Ejder	7e3701142a43
01-29	UP5H0146	Dalripa	13c51a83e844
01-30	TP7H8295	Norpa	1c55ee2b1695
01-31	UP8P3654	Carrom	e6d56dccfe3f
01-32	TP9P3777	Dervish_And_Banges	34e118d24b49
01-33	UP7H8304	Pipen	720532af068c
01-34	TP7P2673	Shaar_Haamakim	9beee0e62343
01-35	UP8H8524	Brygga	1e21f772c241
01-36	TP7H8317	Skubba	89880fb2101c
01-37	UP7H8290	Lira_Brandy	7cbd5a514c51
01-38	TP8H8551	Putsa	9c6877ea2873
01-39	UP8H8534	Grilla	f153445edf98
01-40	TP7H8311	Putt	b0ffc91f8571
01-41	UP7H8300	Pava	9e978d892704
01-42	TP8P3613	Twister	b6735e6efb7c
01-43	UP7Y4594	Carnutes	1d4b599df4b8
01-44	TP8H8543	Laka	97f592888952
01-45	UP8P3664	Rail_Baron	206591ba02a4
01-46	TP6H7701	Dovhjort	5318524a79f4
01-47	UP8H8532	Garnera	86e958e3f2a0
01-48	TP8P3633	Sorry	bbd6df90b77c
01-49	UP8P3620	Scrabble	37723db55a76
01-50	TP8P3631	Pictionary	bc33f800f113
01-51	UP8P3614	Hungry_Hungry_Hippos	24320ecb7beb
01-52	TP8P3627	Connect_Four	98f5c1e3eb13
01-53	UP8P3650	Checkers	bc8329bdfa58
01-54	TP7H8075	Lodur	da1cb66948e4
01-55	UP7H8292	Luman	df5a8d59e36c
01-56	TP7H8009	Dikt	874f6acd472e
01-57	UP7H8306	Pliggar	4a75645c4a86
01-58	TP8H8555	Rosta	93cd319e945d
01-59	UP9P3930	incident	525d7fc5ca58
01-60	TP9P3963	inconceivable	7e15a8e98ef4
01-61	AP8P3015	Rome_1960	a2a7871499f0
01-62	AP7P2042	Mount_Noshaq	19424ffec9a4
01-63	AP8P3018	Helsinki_1952	3026940cb77a
01-64	AP7P2036	Distaghil_Sar	39a5f2d56470
02-01	UP8P3460	Sciascia	0c188a421fad
02-02	TP7Y4831	Aroldo	f896dc875ac6
02-03	UP8P3406	Texel	6b641b5a7e57
02-04	TP8P3511	The_Oden	57720b449f42
02-05	UP8P3318	Kaanapali	09aa4670f9fe
02-06	TP8P3535	Specialized	0e02323fbbe5
02-07	UP8P3320	St_Andrews	a31bbcaf707e
02-08	TP8P3351	Black_Welsh_Mountain	5d7a955303d2
02-09	UP7P2692	Hindenburg	4c7270a2e5bc
02-10	TP8P3283	Brookline	adeb2b0d4b14
02-11	UP8P3484	Pirandello	d20f25a2e74c
02-12	TP8P3333	Xaxi_Ardia	55602d786554
02-13	UP8P3342	Odana_Hills	4c5106c07a54
02-14	TP8P3303	Radrick_Farms	dcfe3860ac06
02-15	UP8P3308	The_Oaks	487d3026282d
02-16	TP8P3355	Faeroes	d5b88d743430
02-17	UP8P3328	Doral	b07d1712950e
02-18	TP8P3273	Carnoustie	8759405f8519
02-19	UP8P3462	Gadda	9d23f0c54e70
02-20	TP8P3349	Bovska	4cb6277c4cec
02-21	UP8P3396	Cheviot	e2e05d7e90ee
02-22	TP8P3321	Royal_Birkdale	daa53fe15048
02-23	UP8P3488	Tasso	5c9e2f74a86f
02-24	TP8P3441	Moravia	296e181fb521
02-25	UP8P3336	Hazeltine_National	e92f3d1992b3
02-26	TP8P3317	Royal_St_Georges	935a3cd48d4e
02-27	UP8P3402	Swiss_Black_Brown	ce0d3b9c80c1
02-28	TP8P3435	Villani	a91cd0fb2aac
02-29	UP8P3534	Carrera	fc8f6a5145a6
02-30	TP8P3309	Southern_Hills	3a811742d3ba
02-31	UP8P3400	Hebridean	75e3e7f127ed
02-32	TP8P3433	Verga	f21c7d75f590
02-33	UP8P3314	Spyglass_Hill	d6d20c8b7bd1
02-34	TP8P3415	Deledda	66d32a665765
02-35	UP4H0033	Rurik	04322af8a754
02-36	TP8P3231	Rototom	5120e4d9946e
02-37	UP8P3410	Steinschaf	6c2f5f210a07
02-38	TP8P3417	Ungaretti	51bd2645e43c
02-39	UP8P3532	Cinelli	c876b49e6a3c
02-40	TP8P3331	Van_Rooy	8aba624fb624
02-41	UP8P3468	Svevo	69235d154deb
02-42	TP8P3359	Teeswater	194c36b3746d
02-43	UP8P3536	Surly	59b83a4a75c3
02-44	TP8P3437	Fogazzaro	ef3b411a6421
02-45	UP8P3552	Lassen_Volcanic	33530089b4ce
02-46	TP8P3341	Oak_Brook	ab60986ca52e
02-47	UP8P3554	Kenai_Fjords	93402d3aad46
02-48	TP8P3301	Butler_National	30c526781a3d
02-49	UP8P3538	Dawes	7867429461b9
02-50	TP8P3295	Cypress_Point	ed01f9bbaea8
02-51	UP8P3394	Tsurcana	7af8855f7003
02-52	TP8P3525	Waterford	527b135fecf5
02-53	UP7Y4520	Arrierboutix	e64e073fa6c2
02-54	TP8P3281	Terrace_Downs	b5fb8b75c9bb
02-55	UP8P3398	Chios	43b24225b506
02-56	TP8P3523	Tommasini	c6b6ad6eee4b
02-57	UP8P3338	Sahalee	358853663d26
02-58	TP8P3293	Riviera_Course	40e282b7519c
02-59	UP8P3404	Gulf_Coast	4bd18fbab065
02-60	TP8P3519	BMC_Racing	21537d5de371
02-61	AP7P2011	Eye	69c52178f360
02-62	AP7P2023	Ribcage	19a76b4aa0b7
02-63	AP7P2009	Finger	0cc2546719eb
02-64	AP7P2095	Aldof_Nordenskiold	c0bde286456c
03-01	UP7H8028	Kick	a8b9c5f67c26
03-02	TP7P2529	Galactus	fb461d2654d1
03-03	UP7P2380	Ozarka_Radio	097d8a36c8ee
03-04	TP7H8049	Skot	61814135bebf
03-05	UP7P2548	Wonder_Woman	fa03d0b3d21c
03-06	TP7P2591	Eintracht_Mombach	a59150f6c258
03-07	UP7P2440	Worscht	e4694a2dac2d
03-08	TP7Y4785	Mantella_Cowanii	49fd9acb594e
03-09	UP7P2568	Bretzenheim	1c65c95c6eac
03-10	TP7P2603	Geigerfraenzje	382ae25f4aeb
03-11	UP7P2448	Permediggel	79035b78f34c
03-12	TP6H7687	Fil	650a85f95550
03-13	UP7P2450	Monder	90c583f5f31c
03-14	TP7P2597	Lerchenberg	77567b3dc58c
03-15	UP7P2578	Finthen	e825465e5e14
03-16	TP7Y4759	Talus	56ade4d004b5
03-17	UP7P2508	Elektra	eaf23330318c
03-18	TP7P2605	Eiskalde_Brueder	9976981b5ee3
03-19	UP7P2444	ZDF	27cec7d4d922
03-20	TP7Y4713	Hamatum	a0c1f5086a52
03-21	UP7P2442	Fastnachtsbrunnen	f20acb2a653c
03-22	TP7P2617	Knerzje	ee57b3bb024f
03-23	UP7P2502	Batgirl	7027c56a42f5
03-24	TP6H7517	Bellmansgatan	40977a5eb907
03-25	UP7P2576	Margittche	d6209433d0c8
03-26	TP7P2565	Ghost_Rider	e3ebb9a50d2b
03-27	UP7P2382	Freshman_Radio	5ee6271f4814
03-28	TP7Y4789	Shorea_Contorta	0ca130d42721
03-29	UP7P2570	Gonsenheim	e44b031d89fb
03-30	TP7P2601	Drais	86687e10a33c
03-31	UP7Y4684	Dargaz	fa493f68cdc0
03-32	TP7P2557	Scarecrow	8b5521ee9fb9
03-33	UP7P2446	Zugente	162fff13d9e1
03-34	TP7P2599	Schnorreswackler	9506e6e02f17
03-35	UP7H8000	Akter	98b9f2357d0e
03-36	TP7P2569	Colossus	e3b74a19f75e
